"","Duration","Treatment","VideoTime","VoteProbability","NewsDays","BidenNominee","TrumpNominee","StemMajor","HumanitiesMajor","ParentsInfluence","HSGPA","Ideology","Class","TrumpCharges"
"238",329,0,128.343,5,3,TRUE,TRUE,FALSE,TRUE,3,3,3,2,5
"239",294,1,183.571,3,NA,TRUE,TRUE,FALSE,FALSE,2,5,4,2,4
"240",202,0,92.447,5,1,TRUE,TRUE,FALSE,TRUE,2,2,3,2,5
"241",220,1,15.347,2,0,TRUE,TRUE,FALSE,TRUE,1,NA,6,2,6
"242",1418,1,596.202,2,2,TRUE,TRUE,FALSE,FALSE,2,NA,6,2,8
"243",545,0,155.569,4,1,FALSE,FALSE,TRUE,FALSE,4,5,3,1,5
"244",4567,1,466.105,5,7,TRUE,TRUE,FALSE,FALSE,1,5,3,2,4
"245",209,0,97.714,5,3,TRUE,TRUE,FALSE,TRUE,3,5,4,2,5
"246",68,1,8.561,4,5,TRUE,TRUE,TRUE,FALSE,4,5,2,2,5
"247",328,0,171.169,5,4,TRUE,FALSE,FALSE,FALSE,2,4,5,2,8
"248",915,1,462.511,2,NA,TRUE,TRUE,TRUE,FALSE,2,3,4,1,5
"249",215,0,72.475,5,0,FALSE,TRUE,TRUE,TRUE,5,5,4,2,4
"250",436,1,355.054,1,3,FALSE,FALSE,FALSE,FALSE,3,5,5,2,5
"251",12233,1,170.105,5,NA,TRUE,TRUE,FALSE,FALSE,4,4,4,2,7
"252",16,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"253",199,0,34.232,5,5,TRUE,TRUE,TRUE,FALSE,3,5,4,2,5
"254",21141,0,904.987,5,7,TRUE,TRUE,FALSE,FALSE,3,5,5,2,3
"255",425,1,237.634,2,1,TRUE,TRUE,FALSE,FALSE,3,NA,6,1,5
"256",381,1,3.68100000000001,5,1,FALSE,TRUE,FALSE,TRUE,4,5,4,3,8
"257",750,0,217.132,4,NA,TRUE,TRUE,FALSE,FALSE,1,5,4,2,6
"258",27,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"259",92905,0,0,5,2,TRUE,TRUE,FALSE,TRUE,3,3,5,2,5
"260",751,0,135.118,5,5,TRUE,TRUE,FALSE,TRUE,3,5,4,3,7
"261",479,0,233.028,5,1,TRUE,TRUE,FALSE,TRUE,3,5,5,3,6
"262",261,1,23.621,1,3,TRUE,TRUE,TRUE,TRUE,2,5,4,3,5
"263",279,0,6.966,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"264",684,1,254.077,1,1,TRUE,FALSE,FALSE,FALSE,3,5,3,2,3
"265",444,0,283.989,5,2,TRUE,FALSE,TRUE,FALSE,3,5,3,2,6
"266",25659,1,180.004,5,2,FALSE,TRUE,FALSE,FALSE,3,5,5,3,4
"267",249,0,110.21,5,NA,TRUE,TRUE,FALSE,TRUE,3,5,5,3,4
"268",446,1,307.032,5,NA,TRUE,TRUE,TRUE,FALSE,4,5,4,2,3
"269",527,1,33.324,4,1,FALSE,TRUE,FALSE,FALSE,4,5,5,2,5
"270",407784,1,242.768,1,2,TRUE,TRUE,TRUE,FALSE,2,5,4,2,5
"271",216,0,34.746,1,3,TRUE,TRUE,FALSE,FALSE,1,5,4,2,5
"272",320,1,139.686,5,6,TRUE,TRUE,TRUE,FALSE,2,5,4,3,5
"273",254,0,97.046,5,3,TRUE,TRUE,FALSE,TRUE,3,5,5,3,6
"274",460,0,23.869,5,5,TRUE,TRUE,FALSE,FALSE,3,5,4,3,5
"275",597,0,77.339,4,2,TRUE,TRUE,FALSE,FALSE,2,5,4,3,4
"276",3368,1,1.084,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"277",320,0,91.97,5,1,TRUE,FALSE,FALSE,TRUE,2,NA,4,4,7
"278",358,0,108.246,5,2,TRUE,TRUE,FALSE,TRUE,3,5,5,2,4
"279",12,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"280",396,0,85.298,1,3,FALSE,FALSE,TRUE,FALSE,3,4,4,3,6
